CAMPUS,C29AD15R,C29ADC15R,C29ADE15R,C29ADM15R,C29ADS15R,C39AD15R,C39ADC15R,C39ADE15R,C39ADM15R,C39ADS15R,C49AD15R,C49ADC15R,C49ADE15R,C49ADM15R,C49ADS15R,CA9AD15R,CA9ADC15R,CA9ADE15R,CA9ADM15R,CA9ADS15R,CB9AD15R,CB9ADC15R,CB9ADE15R,CB9ADM15R,CB9ADS15R,CE9AD15R,CE9ADC15R,CE9ADE15R,CE9ADM15R,CE9ADS15R,CF9AD15R,CF9ADC15R,CF9ADE15R,CF9ADM15R,CF9ADS15R,CH9AD15R,CH9ADC15R,CH9ADE15R,CH9ADM15R,CH9ADS15R,CI9AD15R,CI9ADC15R,CI9ADE15R,CI9ADM15R,CI9ADS15R,CL9AD15R,CL9ADC15R,CL9ADE15R,CL9ADM15R,CL9ADS15R,CM9AD15R,CM9ADC15R,CM9ADE15R,CM9ADM15R,CM9ADS15R,CR9AD15R,CR9ADC15R,CR9ADE15R,CR9ADM15R,CR9ADS15R,CS9AD15R,CS9ADC15R,CS9ADE15R,CS9ADM15R,CS9ADS15R,CW9AD15R,CW9ADC15R,CW9ADE15R,CW9ADM15R,CW9ADS15R
"027903001",35,0,15.8,15.8,21.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.9,0.7,13.1,17.1,26.5,33.3,0,7.1,14.3,20,23.8,1,8.3,12.7,14.3,39.9,0.6,16.6,19.5,28.6,25.3,0.5,7.5,10.5,17.7,-1,-1,-1,-1,-1,12,0,0,5,0,32.3,0.8,9.9,14.9,24.6,17.5,0.7,5.5,10.3,6.7,7.1,0,1.1,4.8,2.1,40.1,0.8,15.2,19.7,30.4
"027903003",-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,4.5,0,0,5.7,0,.,.,.,.,.,6.7,0,0,8,0,3.3,0,0,4.2,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.6,0,0,6.9,0,5.9,0,0,7.1,0,0,-1,-1,-1,-1,5.8,0,0,7.1,0
"027903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904001",35.3,0,20,21.4,46.2,18.2,0,10,11.1,22.2,-1,-1,-1,-1,-1,23.5,0,11.9,9,17,0,0,0,0,0,16.1,0,3.9,4.1,8.9,28.5,0,15.1,9.7,19.4,22.2,0,5.2,5.5,11.2,0,0,0,0,0,20,0,0,0,3.4,18.8,0,8.9,8.4,14.7,13.2,0,2.4,2.1,6.2,7.4,0,0,0,3.8,25.6,0,17.2,11.7,21.6
"027904002",-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,1.6,0,0,3.1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2.4,0,0,5,0,0,-1,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,2.8,0,0,5.3,0,0,-1,-1,0,0,2.4,0,0,4.5,0
"027904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
