CAMPUS,C29AD15R,C39AD15R,C49AD15R,CA9AD15R,CB9AD15R,CE9AD15R,CF9AD15R,CH9AD15R,CI9AD15R,CL9AD15R,CM9AD15R,CR9AD15R,CS9AD15R,CW9AD15R
"014902001",.,.,.,10.2,0,7.9,10.9,10,-1,0,9.6,2.8,0,14.3
"016901001",-1,-1,.,28.6,.,17.4,43.1,17.5,-1,0,16.3,19.6,6.7,33.9
"016901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016902001",57.1,.,.,35.8,.,29.9,35.8,30.3,-1,45.5,35.7,25.8,13,37.8
"016902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903001",35,-1,-1,35.9,33.3,23.8,39.9,25.3,-1,12,32.3,17.5,7.1,40.1
"027903003",-1,.,.,4.5,.,6.7,3.3,0,-1,-1,5.6,5.9,0,5.8
"027903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904001",35.3,18.2,-1,23.5,0,16.1,28.5,22.2,0,20,18.8,13.2,7.4,25.6
"027904002",-1,.,.,1.6,-1,0,2.4,0,.,.,0,2.8,0,2.4
"027904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902001",38.5,40,-1,29.5,22.2,21.8,32.6,26.2,0,6.3,26.5,10.7,10,38.7
"028902004",-1,-1,.,0,0,0,0,0,-1,0,0,0,0,0
"028902038",.,.,.,4.2,-1,5.3,0,6.5,.,-1,10,6.3,-1,0
"028902045",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903001",20,.,.,19.3,31,12.5,22.2,12.9,-1,0,16.7,5.2,4.9,26.3
"028903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028906001",.,.,.,44.7,-1,50,40,57.1,.,.,53.8,43.8,-1,34.8
"046802001",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802004",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802007",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802008",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802009",.,.,.,-1,.,-1,.,.,.,.,-1,-1,-1,-1
"046802010",.,.,.,43.8,-1,46.2,-1,.,.,.,50,46.7,44.4,46.7
"046802011",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901001",66.7,57.1,-1,48.7,28.6,28.6,53.5,36.1,87.5,13.4,44,19.4,5.3,57.7
"046901002",0,-1,.,27.3,20,11.9,25.6,16.7,50,2,28.9,8.6,2.2,36.8
"046901038",.,-1,.,28.3,-1,26.8,37.3,28.8,-1,20,17,22.1,13.3,27.4
"046901041",.,.,.,0,-1,-1,-1,-1,.,.,-1,-1,0,-1
"046901042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
